timestamp,speed_input,speed_output,filesize_input,filesize_output
734,280.2 rd,275.9 wr,"in(64.8, 211.4)",out(271.8)
736,276.9 rd,272.9 wr,"in(64.8, 252.5)",out(312.7)
738,131.5 rd,129.8 wr,"in(64.8, 256.0)",out(316.8)
740,142.5 rd,141.5 wr,"in(0.0, 430.5)",out(427.3)
741,88.4 rd,87.4 wr,"in(49.1, 282.5)",out(328.1)
742,91.6 rd,90.6 wr,"in(64.8, 303.1)",out(364.0)
743,94.3 rd,93.3 wr,"in(64.8, 325.0)",out(385.4)
744,101.0 rd,100.0 wr,"in(64.7, 385.4)",out(445.7)
745,86.1 rd,85.4 wr,"in(64.8, 320.6)",out(382.0)
749,275.9 rd,274.1 wr,"in(588.7, 223.8)",out(807.0)
752,264.9 rd,262.6 wr,"in(64.8, 194.3)",out(256.9)
754,272.9 rd,268.3 wr,"in(64.8, 229.2)",out(289.0)
756,262.2 rd,257.8 wr,"in(64.8, 235.2)",out(294.9)
758,280.5 rd,276.4 wr,"in(64.8, 289.0)",out(348.6)
760,296.1 rd,291.5 wr,"in(64.8, 299.3)",out(358.4)
762,59.5 rd,56.0 wr,"in(64.8, 64.8)",out(122.0)
764,58.2 rd,54.4 wr,"in(64.8, 61.9)",out(118.4)
765,59.5 rd,56.6 wr,"in(64.8, 64.8)",out(123.2)
766,59.5 rd,56.8 wr,"in(64.8, 64.8)",out(123.8)
767,66.1 rd,62.9 wr,"in(64.8, 109.3)",out(165.7)
768,54.0 rd,52.0 wr,"in(64.8, 118.8)",out(176.7)
769,125.0 rd,124.1 wr,"in(0.0, 430.5)",out(427.3)
770,71.1 rd,70.5 wr,"in(41.8, 230.1)",out(269.6)
771,87.4 rd,86.3 wr,"in(64.8, 379.1)",out(438.2)
772,91.8 rd,90.7 wr,"in(64.8, 406.8)",out(466.0)
773,96.9 rd,96.0 wr,"in(64.8, 444.1)",out(504.0)
777,265.8 rd,264.0 wr,"in(588.7, 247.0)",out(829.9)
781,276.5 rd,272.0 wr,"in(64.8, 255.9)",out(315.4)
783,274.2 rd,269.8 wr,"in(64.8, 259.0)",out(318.6)
785,282.2 rd,277.8 wr,"in(64.8, 259.0)",out(318.8)
787,277.6 rd,273.3 wr,"in(64.8, 304.3)",out(363.5)
789,65.1 rd,61.5 wr,"in(49.7, 55.0)",out(98.8)
791,56.3 rd,53.2 wr,"in(64.8, 64.8)",out(122.3)
792,178.8 rd,177.5 wr,"in(0.0, 430.5)",out(427.3)
793,112.1 rd,110.6 wr,"in(64.8, 318.6)",out(378.3)
794,91.6 rd,90.3 wr,"in(55.2, 309.7)",out(359.6)
795,88.5 rd,87.7 wr,"in(64.8, 353.4)",out(414.5)
796,86.3 rd,85.3 wr,"in(64.8, 363.4)",out(423.2)
797,93.4 rd,92.1 wr,"in(64.8, 403.4)",out(462.1)
798,107.7 rd,106.6 wr,"in(64.8, 530.7)",out(589.6)
803,255.2 rd,253.3 wr,"in(642.5, 191.6)",out(827.8)
807,46.5 rd,45.2 wr,"in(19.7, 35.7)",out(53.9)
808,71.5 rd,68.3 wr,"in(64.8, 109.9)",out(166.8)
809,55.3 rd,53.3 wr,"in(64.8, 108.0)",out(166.6)
810,52.9 rd,50.2 wr,"in(64.8, 101.0)",out(157.2)
811,63.6 rd,60.5 wr,"in(73.5, 125.0)",out(189.1)
812,60.6 rd,57.3 wr,"in(64.8, 125.0)",out(179.6)
813,60.7 rd,58.0 wr,"in(64.8, 125.4)",out(181.7)
814,58.0 rd,54.8 wr,"in(64.8, 116.5)",out(171.2)
815,59.7 rd,57.4 wr,"in(64.8, 122.4)",out(180.0)
816,56.2 rd,54.1 wr,"in(64.8, 111.4)",out(169.6)
817,60.0 rd,57.1 wr,"in(64.8, 123.3)",out(178.9)
820,261.6 rd,257.1 wr,"in(64.8, 194.3)",out(254.6)
822,284.2 rd,280.1 wr,"in(64.8, 248.8)",out(309.0)
824,284.1 rd,280.0 wr,"in(64.8, 244.2)",out(304.5)
826,128.5 rd,126.8 wr,"in(45.9, 189.8)",out(232.6)
828,160.9 rd,159.8 wr,"in(0.0, 430.4)",out(427.3)
829,88.1 rd,87.1 wr,"in(64.8, 323.8)",out(384.2)
830,107.9 rd,106.7 wr,"in(64.8, 424.4)",out(483.5)
831,93.8 rd,92.8 wr,"in(64.8, 388.6)",out(448.5)
832,96.9 rd,96.0 wr,"in(64.8, 414.5)",out(475.0)
833,98.4 rd,97.0 wr,"in(64.8, 423.2)",out(481.3)
838,264.2 rd,262.4 wr,"in(588.7, 244.0)",out(827.0)
841,260.8 rd,257.1 wr,"in(64.8, 194.3)",out(255.5)
843,266.3 rd,261.0 wr,"in(64.8, 201.0)",out(260.5)
845,281.6 rd,277.5 wr,"in(64.8, 259.1)",out(319.2)
847,277.1 rd,272.3 wr,"in(64.8, 259.1)",out(318.2)
849,122.9 rd,121.2 wr,"in(64.8, 304.5)",out(364.3)
851,83.8 rd,80.0 wr,"in(64.8, 123.8)",out(180.0)
852,143.4 rd,142.3 wr,"in(0.0, 430.5)",out(427.3)
853,59.8 rd,57.7 wr,"in(64.8, 123.8)",out(182.1)
854,59.1 rd,56.0 wr,"in(64.8, 121.9)",out(176.8)
855,82.0 rd,77.8 wr,"in(64.8, 129.5)",out(184.5)
856,81.5 rd,80.3 wr,"in(64.8, 385.0)",out(443.4)
857,65.8 rd,63.4 wr,"in(60.1, 129.5)",out(182.7)
858,67.1 rd,63.8 wr,"in(64.8, 129.5)",out(184.6)
860,67.1 rd,63.5 wr,"in(64.8, 129.5)",out(183.9)
861,64.8 rd,62.5 wr,"in(64.8, 122.9)",out(180.9)
862,69.8 rd,68.9 wr,"in(64.8, 384.2)",out(443.0)
863,73.2 rd,72.5 wr,"in(64.8, 447.8)",out(507.7)
864,83.8 rd,83.0 wr,"in(64.8, 548.2)",out(607.2)
869,49.1 rd,46.8 wr,"in(21.6, 56.2)",out(74.2)
872,42.4 rd,40.2 wr,"in(64.8, 59.4)",out(117.7)
873,52.2 rd,49.0 wr,"in(64.8, 97.1)",out(152.0)
874,45.8 rd,43.2 wr,"in(64.8, 124.2)",out(178.3)
875,45.2 rd,43.0 wr,"in(64.8, 121.7)",out(177.4)
876,47.0 rd,44.1 wr,"in(64.8, 129.5)",out(182.4)
877,45.3 rd,42.9 wr,"in(64.8, 122.4)",out(177.5)
878,47.0 rd,44.3 wr,"in(64.8, 129.5)",out(183.0)
879,47.0 rd,44.2 wr,"in(64.8, 129.5)",out(182.6)
880,50.9 rd,48.3 wr,"in(64.8, 148.7)",out(202.5)
881,68.7 rd,65.8 wr,"in(24.3, 64.8)",out(85.4)
882,54.4 rd,51.6 wr,"in(64.8, 171.1)",out(223.9)
884,119.2 rd,118.1 wr,"in(696.3, 243.9)",out(931.9)
886,58.0 rd,55.5 wr,"in(64.8, 172.3)",out(226.7)
887,68.5 rd,65.5 wr,"in(64.8, 176.5)",out(230.6)
888,48.2 rd,45.1 wr,"in(64.8, 109.0)",out(162.8)
889,56.7 rd,53.9 wr,"in(64.8, 137.7)",out(192.6)
890,61.5 rd,58.6 wr,"in(64.8, 181.8)",out(234.6)
891,59.8 rd,56.7 wr,"in(64.8, 180.8)",out(233.1)
892,58.5 rd,56.1 wr,"in(64.8, 179.6)",out(234.4)
893,57.9 rd,54.7 wr,"in(64.8, 177.7)",out(228.8)
895,58.6 rd,55.3 wr,"in(64.8, 180.0)",out(231.1)
896,58.2 rd,55.1 wr,"in(64.8, 178.3)",out(230.1)
897,62.4 rd,59.3 wr,"in(64.8, 180.0)",out(232.4)
900,288.8 rd,284.7 wr,"in(64.8, 124.7)",out(186.8)
902,112.5 rd,111.0 wr,"in(51.3, 112.4)",out(161.5)
903,161.7 rd,160.5 wr,"in(0.0, 430.5)",out(427.3)
904,74.6 rd,73.5 wr,"in(64.8, 249.1)",out(309.2)
905,61.6 rd,61.0 wr,"in(64.8, 194.3)",out(256.4)
906,56.9 rd,56.2 wr,"in(64.8, 195.7)",out(257.1)
907,55.4 rd,54.8 wr,"in(59.4, 194.3)",out(251.1)
908,64.9 rd,63.9 wr,"in(64.8, 259.1)",out(318.7)
909,70.8 rd,69.9 wr,"in(64.8, 297.3)",out(357.4)
910,108.8 rd,107.5 wr,"in(64.8, 251.6)",out(312.6)
915,88.8 rd,87.9 wr,"in(64.8, 443.0)",out(502.7)
921,269.0 rd,266.8 wr,"in(642.5, 302.9)",out(937.7)
925,289.6 rd,284.3 wr,"in(52.1, 129.5)",out(178.3)
926,267.6 rd,263.4 wr,"in(64.8, 194.3)",out(255.0)
928,273.5 rd,270.0 wr,"in(64.8, 194.3)",out(255.7)
930,272.9 rd,266.7 wr,"in(64.8, 194.3)",out(253.2)
932,268.8 rd,265.3 wr,"in(64.8, 234.8)",out(295.6)
934,286.6 rd,281.7 wr,"in(64.8, 243.6)",out(303.2)
936,158.5 rd,157.4 wr,"in(0.0, 430.5)",out(427.3)
937,83.0 rd,82.3 wr,"in(34.0, 192.4)",out(224.3)
938,86.0 rd,84.6 wr,"in(64.8, 253.9)",out(313.4)
939,103.5 rd,102.6 wr,"in(64.8, 321.2)",out(382.6)
940,115.7 rd,114.6 wr,"in(64.8, 438.8)",out(498.8)
941,113.9 rd,112.6 wr,"in(64.8, 453.3)",out(512.1)
949,259.2 rd,257.4 wr,"in(588.7, 268.7)",out(851.4)
953,255.6 rd,251.0 wr,"in(64.8, 163.3)",out(224.0)
955,253.2 rd,248.4 wr,"in(64.8, 227.9)",out(287.1)
957,274.4 rd,269.8 wr,"in(21.7, 77.5)",out(97.6)
958,253.5 rd,249.2 wr,"in(32.1, 119.1)",out(148.6)
960,271.9 rd,268.3 wr,"in(64.8, 287.6)",out(347.7)
962,191.1 rd,187.8 wr,"in(64.8, 303.3)",out(361.9)
964,57.1 rd,56.4 wr,"in(20.3, 153.5)",out(171.6)
965,141.3 rd,140.2 wr,"in(0.0, 430.4)",out(427.3)
966,60.1 rd,56.0 wr,"in(64.8, 129.5)",out(181.0)
967,50.8 rd,47.1 wr,"in(64.8, 99.5)",out(152.1)
968,52.5 rd,48.9 wr,"in(64.8, 123.9)",out(175.6)
969,53.0 rd,50.3 wr,"in(64.8, 125.7)",out(180.6)
973,70.3 rd,69.5 wr,"in(64.8, 353.9)",out(414.2)
974,71.8 rd,71.1 wr,"in(64.8, 384.4)",out(445.0)
975,75.9 rd,75.3 wr,"in(64.8, 437.4)",out(497.9)
976,81.5 rd,80.5 wr,"in(64.8, 483.1)",out(540.8)
977,83.2 rd,82.5 wr,"in(64.8, 388.5)",out(449.4)
983,52.2 rd,49.0 wr,"in(64.8, 101.9)",out(156.4)
986,44.8 rd,42.3 wr,"in(64.8, 129.5)",out(183.3)
987,44.8 rd,42.2 wr,"in(64.8, 129.5)",out(182.8)
988,44.8 rd,42.1 wr,"in(64.8, 129.5)",out(182.3)
989,44.8 rd,41.8 wr,"in(64.8, 129.5)",out(181.0)
990,44.8 rd,41.5 wr,"in(64.8, 129.5)",out(179.9)
991,48.4 rd,45.8 wr,"in(64.8, 150.1)",out(203.3)
992,48.8 rd,47.0 wr,"in(64.8, 152.0)",out(208.6)
993,48.8 rd,46.3 wr,"in(64.8, 152.2)",out(205.7)
994,50.4 rd,47.9 wr,"in(64.8, 161.4)",out(215.0)
995,49.9 rd,47.2 wr,"in(64.8, 159.2)",out(211.6)
996,59.3 rd,56.4 wr,"in(22.7, 64.8)",out(83.2)
998,106.5 rd,105.6 wr,"in(696.3, 194.3)",out(883.0)
1000,53.8 rd,50.5 wr,"in(64.8, 164.1)",out(214.6)
1001,47.3 rd,44.9 wr,"in(64.8, 134.5)",out(188.9)
1002,50.4 rd,47.4 wr,"in(64.8, 164.5)",out(215.7)
1003,48.5 rd,46.0 wr,"in(64.8, 171.2)",out(224.0)
1004,50.9 rd,48.5 wr,"in(64.8, 175.3)",out(228.9)
1005,49.3 rd,46.4 wr,"in(64.8, 175.1)",out(225.6)
1006,48.9 rd,45.9 wr,"in(64.8, 173.0)",out(223.6)
1007,52.5 rd,49.8 wr,"in(64.8, 182.5)",out(234.5)
1008,52.9 rd,50.4 wr,"in(64.8, 184.5)",out(237.2)
1009,52.9 rd,50.3 wr,"in(64.8, 184.6)",out(237.2)
1011,72.3 rd,68.7 wr,"in(64.8, 185.2)",out(237.4)
1014,259.5 rd,255.6 wr,"in(64.7, 161.7)",out(223.1)
1016,62.3 rd,61.7 wr,"in(21.4, 64.8)",out(85.3)
1017,57.8 rd,57.2 wr,"in(28.6, 162.3)",out(189.0)
1018,130.3 rd,129.3 wr,"in(0.0, 430.5)",out(427.3)
1019,50.2 rd,49.6 wr,"in(64.8, 188.3)",out(249.9)
1020,51.7 rd,51.0 wr,"in(64.8, 238.8)",out(299.2)
1021,54.5 rd,53.9 wr,"in(64.7, 255.1)",out(316.2)
1022,55.2 rd,54.4 wr,"in(64.8, 259.0)",out(319.2)
1023,57.7 rd,57.1 wr,"in(64.8, 278.1)",out(339.2)
1024,60.1 rd,59.4 wr,"in(55.7, 315.4)",out(366.9)
1025,69.8 rd,69.1 wr,"in(64.8, 365.9)",out(426.6)
1026,66.6 rd,65.7 wr,"in(64.8, 352.6)",out(411.8)
1034,263.4 rd,261.6 wr,"in(588.7, 259.1)",out(842.0)
1038,258.5 rd,252.7 wr,"in(64.8, 129.5)",out(190.0)
1040,291.5 rd,287.2 wr,"in(64.8, 194.3)",out(255.3)
1042,274.0 rd,271.3 wr,"in(64.8, 190.5)",out(252.8)
1043,286.2 rd,282.2 wr,"in(64.8, 194.3)",out(255.4)
1045,273.7 rd,270.0 wr,"in(56.6, 194.3)",out(247.5)
1047,195.1 rd,192.7 wr,"in(64.8, 302.6)",out(362.7)
1049,135.0 rd,134.0 wr,"in(0.0, 430.5)",out(427.3)
1050,64.9 rd,64.0 wr,"in(29.2, 185.3)",out(211.7)
1051,72.3 rd,67.9 wr,"in(64.8, 116.8)",out(170.7)
1052,74.5 rd,70.1 wr,"in(64.8, 121.2)",out(174.9)
1053,63.1 rd,58.2 wr,"in(64.8, 119.8)",out(170.3)
1054,58.1 rd,54.1 wr,"in(64.8, 121.6)",out(173.4)
1055,80.6 rd,79.7 wr,"in(64.8, 322.8)",out(383.2)
1056,86.7 rd,85.5 wr,"in(64.8, 363.9)",out(423.0)
1057,113.6 rd,112.6 wr,"in(64.8, 541.3)",out(600.6)
1061,265.1 rd,263.3 wr,"in(588.7, 238.0)",out(820.9)
1065,289.8 rd,285.7 wr,"in(64.8, 180.3)",out(241.7)
1066,270.4 rd,266.9 wr,"in(64.8, 249.8)",out(310.5)
1068,278.4 rd,274.9 wr,"in(64.8, 241.2)",out(302.2)
1070,275.5 rd,271.2 wr,"in(64.3, 255.1)",out(314.4)
1072,263.0 rd,260.9 wr,"in(49.2, 259.1)",out(305.8)
1075,146.0 rd,144.9 wr,"in(0.0, 430.5)",out(427.3)
1076,74.2 rd,69.8 wr,"in(64.8, 165.3)",out(216.4)
1077,50.5 rd,47.1 wr,"in(64.8, 129.5)",out(181.0)
1078,49.0 rd,46.9 wr,"in(64.8, 124.0)",out(180.5)
1079,50.4 rd,47.1 wr,"in(64.8, 129.5)",out(181.3)
1080,58.0 rd,54.5 wr,"in(64.8, 163.0)",out(214.3)
1081,78.1 rd,76.9 wr,"in(64.8, 371.2)",out(429.7)
1082,77.3 rd,76.1 wr,"in(64.8, 387.5)",out(445.5)
1083,75.8 rd,75.0 wr,"in(64.8, 378.8)",out(438.9)
1084,84.8 rd,84.0 wr,"in(64.8, 453.4)",out(513.5)
1089,253.2 rd,251.1 wr,"in(642.5, 253.9)",out(889.2)
1093,58.9 rd,55.1 wr,"in(52.6, 118.2)",out(159.7)
1094,47.6 rd,44.2 wr,"in(64.8, 122.0)",out(173.5)
1095,48.0 rd,44.3 wr,"in(64.8, 123.6)",out(174.1)
1096,53.5 rd,50.5 wr,"in(64.8, 148.0)",out(200.6)
1097,54.7 rd,51.5 wr,"in(64.8, 174.9)",out(225.3)
1098,54.3 rd,51.1 wr,"in(64.8, 174.5)",out(224.9)
1099,54.3 rd,51.8 wr,"in(64.8, 176.8)",out(230.4)
1100,51.1 rd,48.0 wr,"in(64.8, 158.8)",out(209.9)
1101,54.6 rd,51.4 wr,"in(64.8, 174.5)",out(224.9)
1102,54.2 rd,50.9 wr,"in(64.8, 172.4)",out(222.9)
1103,57.4 rd,53.5 wr,"in(82.2, 173.1)",out(238.0)
1106,268.4 rd,264.3 wr,"in(64.8, 194.3)",out(255.2)
1108,268.1 rd,264.4 wr,"in(64.8, 228.7)",out(289.5)
1110,283.5 rd,280.0 wr,"in(35.1, 95.2)",out(128.7)
1111,184.5 rd,181.9 wr,"in(64.8, 235.4)",out(296.0)
1113,155.0 rd,153.9 wr,"in(0.0, 430.5)",out(427.3)
1114,81.9 rd,80.6 wr,"in(64.8, 259.1)",out(318.8)
1115,79.5 rd,78.4 wr,"in(64.8, 249.6)",out(310.0)
1116,79.0 rd,77.7 wr,"in(64.8, 247.5)",out(307.3)
1117,90.4 rd,89.6 wr,"in(64.8, 309.4)",out(370.8)
1118,91.9 rd,91.1 wr,"in(64.8, 331.4)",out(392.5)
1127,256.8 rd,254.8 wr,"in(588.7, 335.9)",out(917.7)
1131,267.3 rd,262.6 wr,"in(58.5, 194.2)",out(248.3)
1133,262.6 rd,258.8 wr,"in(64.8, 259.0)",out(319.0)
1135,284.6 rd,279.4 wr,"in(64.8, 259.0)",out(317.9)
1137,280.6 rd,277.0 wr,"in(64.8, 279.9)",out(340.2)
1139,188.2 rd,186.4 wr,"in(64.8, 306.1)",out(367.4)
1141,161.4 rd,160.2 wr,"in(0.0, 430.5)",out(427.3)
1142,77.2 rd,76.6 wr,"in(28.7, 258.2)",out(284.7)
1143,70.4 rd,69.2 wr,"in(53.2, 254.0)",out(302.2)
1144,78.7 rd,77.5 wr,"in(64.8, 323.8)",out(382.4)
1145,77.5 rd,76.6 wr,"in(64.8, 317.9)",out(378.1)
1146,83.0 rd,81.9 wr,"in(64.8, 319.0)",out(378.7)
1148,78.8 rd,77.8 wr,"in(64.8, 297.7)",out(357.5)
1149,95.2 rd,94.3 wr,"in(64.8, 500.4)",out(559.3)
1155,179.8 rd,178.5 wr,"in(642.5, 194.3)",out(830.5)
1159,53.7 rd,49.3 wr,"in(64.8, 84.0)",out(136.6)
1160,58.2 rd,53.6 wr,"in(64.8, 102.1)",out(153.5)
1161,49.9 rd,46.7 wr,"in(58.5, 127.8)",out(174.4)
1162,52.0 rd,48.1 wr,"in(64.8, 129.5)",out(179.8)
1163,56.1 rd,51.8 wr,"in(64.8, 145.2)",out(194.0)
1164,54.0 rd,50.7 wr,"in(64.8, 136.9)",out(189.4)
1165,52.0 rd,48.5 wr,"in(64.8, 129.5)",out(181.3)
1166,59.4 rd,55.4 wr,"in(64.8, 164.4)",out(213.6)
1167,55.9 rd,53.0 wr,"in(64.8, 150.9)",out(204.4)
1168,57.8 rd,54.6 wr,"in(64.8, 158.7)",out(211.3)
1169,59.4 rd,55.3 wr,"in(64.8, 165.1)",out(214.1)
1172,300.7 rd,296.6 wr,"in(64.8, 183.8)",out(245.2)
1173,271.7 rd,265.7 wr,"in(64.8, 194.3)",out(253.3)
1175,270.0 rd,265.6 wr,"in(64.8, 198.2)",out(258.6)
1177,260.7 rd,258.2 wr,"in(7.9, 25.6)",out(33.2)
1178,266.2 rd,262.9 wr,"in(19.3, 64.8)",out(83.0)
1179,131.9 rd,129.8 wr,"in(64.8, 259.0)",out(318.9)
1181,57.8 rd,57.3 wr,"in(29.3, 126.6)",out(154.3)
1182,158.6 rd,157.5 wr,"in(0.0, 430.5)",out(427.3)
1183,105.6 rd,104.5 wr,"in(64.8, 411.5)",out(471.6)
1184,89.8 rd,88.8 wr,"in(61.6, 382.9)",out(439.0)
1185,99.3 rd,98.3 wr,"in(64.8, 496.5)",out(555.1)
1186,122.2 rd,120.8 wr,"in(64.8, 295.6)",out(356.2)
1191,102.2 rd,101.1 wr,"in(64.8, 518.2)",out(577.0)
1195,176.8 rd,175.5 wr,"in(642.5, 194.3)",out(830.5)
1199,44.3 rd,41.7 wr,"in(32.4, 95.4)",out(120.3)
1200,55.6 rd,50.8 wr,"in(64.8, 100.9)",out(151.5)
1201,52.2 rd,48.8 wr,"in(64.8, 149.3)",out(200.3)
1202,57.1 rd,53.1 wr,"in(64.8, 177.4)",out(225.3)
1203,56.1 rd,52.8 wr,"in(64.8, 194.3)",out(243.5)
1204,51.7 rd,48.6 wr,"in(64.8, 174.1)",out(224.5)
1205,52.8 rd,49.3 wr,"in(64.8, 178.9)",out(227.8)
1206,55.8 rd,52.6 wr,"in(64.8, 194.3)",out(243.9)
1207,54.5 rd,51.3 wr,"in(64.8, 189.4)",out(238.9)
1208,54.5 rd,51.9 wr,"in(64.8, 189.1)",out(241.9)
1209,55.6 rd,52.7 wr,"in(64.8, 194.3)",out(245.6)
1213,287.5 rd,283.9 wr,"in(64.8, 142.9)",out(205.1)
1214,276.1 rd,271.4 wr,"in(64.8, 194.3)",out(254.6)
1216,167.9 rd,165.7 wr,"in(64.8, 244.8)",out(305.5)
1218,170.7 rd,169.5 wr,"in(0.0, 430.4)",out(427.3)
1219,66.2 rd,65.7 wr,"in(21.1, 207.6)",out(226.9)
1220,84.2 rd,82.8 wr,"in(64.8, 259.1)",out(318.3)
1221,65.6 rd,64.9 wr,"in(34.6, 219.1)",out(251.2)
1222,72.7 rd,71.6 wr,"in(64.8, 248.1)",out(308.0)
1223,96.5 rd,95.6 wr,"in(64.8, 433.5)",out(493.2)
1224,100.4 rd,99.3 wr,"in(64.8, 453.3)",out(512.8)
1234,255.1 rd,253.2 wr,"in(588.7, 321.4)",out(903.3)
1238,62.8 rd,58.9 wr,"in(48.9, 129.5)",out(167.3)
1239,54.8 rd,51.0 wr,"in(64.8, 173.4)",out(221.6)
1240,54.4 rd,50.7 wr,"in(64.8, 194.3)",out(241.2)
1241,54.4 rd,50.8 wr,"in(64.8, 194.3)",out(241.6)
1242,54.4 rd,50.9 wr,"in(64.8, 194.3)",out(242.1)
1243,53.9 rd,49.7 wr,"in(64.8, 169.6)",out(216.0)
1244,53.8 rd,50.4 wr,"in(59.3, 174.4)",out(218.8)
1245,51.7 rd,48.5 wr,"in(64.7, 181.3)",out(230.9)
1246,49.3 rd,46.8 wr,"in(64.8, 169.7)",out(222.7)
1247,52.3 rd,48.6 wr,"in(64.8, 184.0)",out(231.2)
1248,54.6 rd,51.3 wr,"in(64.8, 194.3)",out(243.7)
1250,138.8 rd,136.8 wr,"in(47.0, 186.4)",out(230.0)
1251,155.6 rd,153.1 wr,"in(64.8, 259.0)",out(318.5)
1254,253.1 rd,249.1 wr,"in(64.8, 148.4)",out(209.8)
1256,157.7 rd,157.6 wr,"in(0.1, 15.5)",out(15.6)
1257,158.5 rd,157.3 wr,"in(0.0, 430.4)",out(427.3)
1258,83.4 rd,81.7 wr,"in(64.8, 176.0)",out(235.8)
1259,58.8 rd,58.0 wr,"in(64.8, 194.3)",out(255.6)
1260,68.6 rd,67.5 wr,"in(64.8, 288.3)",out(347.6)
1261,69.7 rd,68.7 wr,"in(64.8, 323.8)",out(383.4)
1262,83.2 rd,82.4 wr,"in(64.8, 399.4)",out(459.7)
1263,73.5 rd,72.5 wr,"in(64.8, 351.1)",out(410.3)
1264,83.2 rd,82.4 wr,"in(64.8, 428.4)",out(488.2)
1274,148.9 rd,147.7 wr,"in(642.5, 273.1)",out(908.2)
1278,50.2 rd,46.9 wr,"in(64.8, 166.3)",out(216.0)
1279,47.4 rd,44.1 wr,"in(64.8, 182.6)",out(230.2)
1280,49.6 rd,46.1 wr,"in(64.8, 194.3)",out(240.9)
1281,47.4 rd,44.3 wr,"in(64.8, 182.8)",out(231.1)
1282,47.0 rd,43.7 wr,"in(64.8, 180.5)",out(228.1)
1283,47.5 rd,44.0 wr,"in(64.8, 183.1)",out(229.9)
1284,49.0 rd,45.8 wr,"in(64.8, 190.8)",out(238.8)
1285,47.4 rd,44.1 wr,"in(64.8, 182.4)",out(230.0)
1286,50.7 rd,47.3 wr,"in(64.8, 200.6)",out(247.5)
1287,52.2 rd,48.9 wr,"in(64.8, 208.6)",out(255.8)
1288,51.3 rd,48.7 wr,"in(64.8, 203.3)",out(254.3)
1291,242.7 rd,238.8 wr,"in(64.8, 145.7)",out(207.1)
1293,248.7 rd,245.1 wr,"in(64.8, 171.0)",out(232.3)
1295,256.7 rd,253.0 wr,"in(64.8, 194.3)",out(255.3)
1297,132.7 rd,131.8 wr,"in(0.0, 430.5)",out(427.3)
1298,65.7 rd,64.6 wr,"in(64.8, 216.0)",out(275.9)
1299,63.8 rd,63.1 wr,"in(39.7, 269.6)",out(306.0)
1300,66.4 rd,65.0 wr,"in(64.8, 259.1)",out(317.2)
1301,65.0 rd,64.4 wr,"in(64.8, 250.5)",out(312.0)
1302,70.6 rd,69.6 wr,"in(64.8, 282.8)",out(342.6)
1303,69.9 rd,68.9 wr,"in(64.8, 297.1)",out(356.7)
1304,95.4 rd,94.4 wr,"in(64.8, 488.2)",out(547.3)
1314,282.9 rd,280.9 wr,"in(588.7, 285.6)",out(868.0)
1317,247.8 rd,244.5 wr,"in(64.8, 190.6)",out(252.0)
1319,278.3 rd,274.6 wr,"in(64.8, 252.4)",out(312.9)
1321,275.8 rd,273.0 wr,"in(64.8, 248.1)",out(309.8)
1323,281.3 rd,276.9 wr,"in(64.8, 255.6)",out(315.4)
1325,161.3 rd,160.1 wr,"in(0.0, 430.5)",out(427.3)
1327,100.4 rd,98.9 wr,"in(64.8, 265.3)",out(325.3)
1328,56.7 rd,56.2 wr,"in(28.6, 129.6)",out(156.7)
1329,64.8 rd,64.1 wr,"in(36.1, 198.1)",out(231.9)
1330,80.5 rd,79.5 wr,"in(64.8, 316.7)",out(376.8)
1331,68.7 rd,64.8 wr,"in(50.7, 115.1)",out(156.5)
1332,90.7 rd,83.6 wr,"in(64.8, 166.2)",out(212.8)
1333,83.7 rd,82.9 wr,"in(64.8, 470.1)",out(529.7)
1338,61.8 rd,60.8 wr,"in(64.8, 380.3)",out(437.6)
1339,66.3 rd,61.5 wr,"in(64.8, 166.4)",out(214.6)
1342,63.8 rd,59.2 wr,"in(64.8, 172.7)",out(220.4)
1343,65.8 rd,60.4 wr,"in(64.8, 179.9)",out(224.8)
